Japan,English
ningen,human
jinrui,humanity
hito,person
otoko,male
otokonohito,man
otokonoko,boy
onna,female
onnanohito,woman
onnanoko,girl
akachan,baby
wakamono,young person
watashi,"I, myself"
boku,"I, myself (Boy)"
ore,"I, myself (Boy)"
atashi,"I, myself (Girl)"
shounen,boy
isha,doctor
kangoshi,nurse
kangofu,female nurse
"shikai, ha-isha",dentist
seijika,politician
bengoshi,lawyer
shouboushi,firefighter
keisatsukan,police officer
heishi,soldier
kenchikuka,architect
sensei,teacher
kyoushi,teacher
kashu,singer
enjinia,engineer
ashi,foot
kakato,heel
sune,shin
hiza,knee
momo,thigh
atama,head
kao,face
kuchi,mouth
kuchibiru,lips
ha,tooth
hana,nose
me,eye
hige,moustache
kami,hair
mimi,ear
onaka,stomach
ude,arm
hiji,elbow
kata,shoulder
tsume,nail
te,hand
tekubi,wrist
te-no-hira,palm of hand
yubi,finger
shiri,buttocks
o-naka,abdomen
kanzō,liver
kimo,liver
kin'niku,muscle
kubi,neck
kokoro,heart (feelings)
koshi,"waist, hip"
shinzō,heart
senaka,back
chi,blood
niku,meat
hada,skin
hifu,skin
hone,bone
mune,chest
kaze,cold (illness)
geri,diarrhea
byōki,illness
kazoku,family
ryoushin,parents
kodomo,children
chichi,father
haha,mother
tsuma,wife
otto,husband
ani,older brother
ane,older sister
otōto,younger brother
imōto,younger sister
kyōdai,brothers
shimai,sisters
sofu,grandfather
sobo,grandmother
mago,grandchild
oji,uncle
oba,aunt
itoko,cousin
mei,niece
oi,nephew
ikimono,living creatures
bakemono,monster
dōbutsu,animal
chītā,cheetah
inu,dog
neko,cat
ushi,cow
buta,pig
uma,horse
hitsuji,sheep
saru,monkey
nezumi,mouse
tora,tiger
ōkami,wolf
usagi,rabbit
"ryū, tatsu",dragon
shika,deer
kaeru,frog
gama,toad
shishi,lion
kirin,giraffe
zō,elephant
tori,bird
niwatori,chicken
suzume,sparrow
karasu,crow
washi,eagle
taka,hawk
sakana,fish
tai,red snapper
ebi,"shrimp, lobster"
iwashi,sardine
maguro,tuna
katsuo,bonito
sanma,pike
aji,horse mackerel
saba,mackerel
ika,squid
tako,octopus
mushi,insect
chō,butterfly
ga,moth
semi,cicada
tonbo,dragonfly
batta,grasshopper
kumo,spider
hotaru,firefly
hae,housefly
ka,mosquito
gokiburi,cockroach
katatsumuri,snail
namekuji,slug
mimizu,earthworm
kai,shellfish
kaigara,shell
tokage,lizard
hebi,snake
kuma,bear
shokubutsu,plants
kusa,grass
hana,flower
mi,fruit
ki,tree
"ha, happa",leaf
"ne, nekko",root
kuki,stem
kinoko,mushroom
kiku,chrysanthemum
sakura,cherry blossom
matsu,pine tree
ume,jp plum
kome,uncooked rice
ine,rice growing in a field
mugi,"wheat, barley, oats"
yasai,vegetable
kudamono,fruit
imo,"yam, potato, taro"
mame,beans
daikon,jp white radish
ninjin,carrot
ringo,apple
mikan,mandarin orange
"banana, kanshō",banana
nashi,pear
kuri,chestnut tree
momo,peach
"tomato, banka",tomato
suika,watermelon
tabemono,food
"chōshoku, asagohan",breakfast
hirugohan,lunch
bangohan,dinner
gohan,cooked rice or meal
miso,miso
ryōri,cooking
sarada,salad
dezāto,dessert
pan,bread
sandoitchi,sandwich
"oyatsu, kanshoku",snack
aisukurīmu,ice cream
takoyaki,octopus dumpling
nomimono,drink/beverage
cha,tea
ocha,green tea
kōhī,coffee
gyūnyū,milk
mizu,water
bīru,beer
wain,wine
satō,sugar
shio,salt
shōyu,soy sauce
jikan,time
"toki, ji",hours
"koyomi, karendā",calendar
fun,minute
byō,second
"hi, nichi",day
"tsuki, gatsu",month
"toshi, nen",year
kyonen,last year
kotoshi,this year
rainen,next year
"kinō, sakujitsu",yesterday
kyō,today
"ashita, asu, myōnichi",tomorrow
asa,morning
hiru,afternoon
yūgata,evening
ban,evening
yoru,evening
yōbi,day
shū,week
isshūkan,one week
kinou no asa,yesterday morning
kesa,this morning
ashita no asa,tomorrow morning
senshū,last week
senshū,this week
raishū,next week
nichi-yōbi,Sunday
getsu-yōbi,Monday
ka-yōbi,Tuesday
sui-yōbi,Wednesday
moku-yōbi,Thursday
kin-yōbi,Friday
do-yōbi,Saturday
taiyō,sun
tsuki,moon
hoshi,star
tenki,weather
hare,clear weather
ame,rain
kumori,cloudy
yuki,snow
kaze,wind
kaminari,"thunder, lightning"
taifū,typhoon
arashi,storm
sora,sky
kita,north
higashi,east
minami,south
nishi,west
koko,here
soko,there
asoko,over there
migi,right
hidari,left
ue,"above, up"
shita,"below, down"
mae,front
ushiro,behind
mukō,"other side, opposite side"
naname,diagonal
temae,"nearer, more in front"
tooi,far
chikai,"near, close"
mizu,water
yu,hot water
kōri,ice
yuge,steam
hi,fire
gasu,gas
kūki,"air, atmosphere"
tsuchi,"earth, ground"
kinzoku,"metal, metallic"
doro,"mud, mire, clay"
kemuri,smoke
tetsu,iron [Fe]
dō,copper [Cu]
kin,gold [Au]; money
gin,silver [Ag]; wealth
namari,lead [Pb]
shio,salt [NaCl]
mētoru,meter
rittoru,litre
guramu,gram
kiro,kilo
miri,milli
senchi,centimeter
inchi,inch
shakai,society
keizai,economy
kaisha,company
kaigi,meeting
gakkō,school
yakusho,local government office
mise,store
hoteru,hotel
kōjō,factory
kane,money
satsu,bill"
kozeni,small change
tsurisen,change
jidōhanbaiki,vending machine
kitte,stamp
tsukue,desk
isu,"chair, position"
